В Якутии пожарным удалось спасти жилой дом  Подробнее - https://yakutsk.news/v-yakutii-pozharnym-udalos-spasti-zhiloj-dom/№%:№%:2018-04-30 08:47:12№%:№%:139776120
Школьник из Якутии стал призером Всероссийской олимпиады по математике  Подробнее - https://yakutsk.news/shkolnik-iz-yakutii-stal-prizerom-vserossijskoj-olimpiady-po-matematike/№%:№%:2018-04-30 07:59:30№%:№%:139776120
В Якутии 15-летние подростки избили и ограбили пьяного мужчину  Подробнее - https://yakutsk.news/v-yakutii-15-letnie-podrostki-izbili-i-ograbili-pyanogo-muzhchinu/№%:№%:2018-04-30 06:59:14№%:№%:139776120
В Якутске 1 мая временно перекроют 14 улиц  Подробнее - https://yakutsk.news/v-yakutske-1-maya-vremenno-perekroyut-14-ulic/№%:№%:2018-04-30 06:01:19№%:№%:139776120
Житель Якутска разбился, пытаясь спустится с 8 этажа на простынях  Подробнее - https://yakutsk.news/zhitel-yakutska-razbilsya-pytayas-spustitsya-s-8-etazha-na-prostynyax/№%:№%:2018-04-30 05:47:33№%:№%:139776120
В Ленском районе Якутии произошло смертельное ДТП  Подробнее - https://yakutsk.news/v-lenskom-rajone-yakutii-proizoshlo-smertelnoe-dtp/№%:№%:2018-04-27 17:18:32№%:№%:139776120
Отключение света 28 апреля в Якутске и трех районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-28-aprelya-v-yakutske-i-trex-rajonax-yakutii/№%:№%:2018-04-27 15:03:33№%:№%:139776120
В Якутии задержаны двое парней, совершившие за ночь грабеж и кражу  Подробнее - https://yakutsk.news/v-yakutii-zaderzhany-dvoe-parnej-sovershivshie-za-noch-grabezh-i-krazhu/№%:№%:2018-04-27 10:29:51№%:№%:139776120
В Якутии главбух противопожарной службы обвиняется в мошенничестве  Подробнее - https://yakutsk.news/v-yakutii-glavbux-protivopozharnoj-sluzhby-obvinyaetsya-v-moshennichestve/№%:№%:2018-04-27 05:17:32№%:№%:139776120
Отключение света 27 апреля в Якутске и семи районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-27-aprelya-v-yakutske-i-semi-rajonax-yakutii/№%:№%:2018-04-26 13:39:17№%:№%:139776120
В Якутии два депутата Ил Тумэн обвиняются в получении крупной взятки  Подробнее - https://yakutsk.news/v-yakutii-dva-deputata-il-tumen-obvinyayutsya-v-poluchenii-krupnoj-vzyatki/№%:№%:2018-04-26 12:46:37№%:№%:139776120
В Якутске 26 апреля произошло серьезное ДТП. Один человек погиб, пять пострадали  Подробнее - https://yakutsk.news/v-yakutske-26-aprelya-proizoshlo-sereznoe-dtp-odin-chelovek-pogib-pyat-postradali/№%:№%:2018-04-26 12:04:16№%:№%:139776120
Школьница из Якутии - призер Первенства мира по киокусинкай каратэ  Подробнее - https://yakutsk.news/shkolnica-iz-yakutii-prizer-pervenstva-mira-po-kiokusinkaj-karate/№%:№%:2018-04-26 10:54:14№%:№%:139776120
В Якутии задержан мужчина, укравший у пенсионера кошелек  Подробнее - https://yakutsk.news/v-yakutii-zaderzhan-muzhchina-ukravshij-u-pensionera-koshelek/№%:№%:2018-04-26 10:39:32№%:№%:139776120
В Якутии 25 апреля в ДТП пострадали 4 ребенка  Подробнее - https://yakutsk.news/v-yakutii-25-aprelya-v-dtp-postradali-4-rebenka/№%:№%:2018-04-26 10:30:22№%:№%:139776120
Юные борцы из Якутии завоевали 5 медалей на первенстве России  Подробнее - https://yakutsk.news/yunye-borcy-iz-yakutii-zavoevali-5-medalej-na-pervenstve-rossii/№%:№%:2018-04-26 09:04:22№%:№%:139776120
Двое жителей Якутии ответ за незаконную добычу северных оленей  Подробнее - https://yakutsk.news/dvoe-zhitelej-yakutii-otvet-za-nezakonnuyu-dobychu-severnyx-olenej/№%:№%:2018-04-26 08:37:27№%:№%:139776120
В Якутске 1 мая ограничат продажу алкоголя  Подробнее - https://yakutsk.news/v-yakutske-1-maya-ogranichat-prodazhu-alkogolya/№%:№%:2018-04-26 08:04:14№%:№%:139776120
Житель Якутии ответит в суде за избиение жены  Подробнее - https://yakutsk.news/zhitel-yakutii-otvetit-v-sude-za-izbienie-zheny/№%:№%:2018-04-26 07:30:19№%:№%:139776120
Житель Якутии, застреливший отца и двоих знакомых, осужден на 20 лет  Подробнее - https://yakutsk.news/zhitel-yakutii-zastrelivshij-otca-i-dvoix-znakomyx-osuzhden-na-20-let/№%:№%:2018-04-26 07:15:16№%:№%:139776120
Житель Якутии, пытаясь разнять женщин, кинул в них тумбой  Подробнее - https://yakutsk.news/zhitel-yakutii-pytayas-raznyat-zhenshhin-kinul-v-nix-tumboj/№%:№%:2018-04-25 11:10:22№%:№%:139776120
